s3_zip_name	s3_zip_size
flight_10_21/flight_10_21_price_2017-06-01.zip	14198115
flight_10_21/flight_10_21_price_2017-06-02.zip	14100921
flight_10_21/flight_10_21_price_2017-06-03.zip	14086390
flight_10_21/flight_10_21_price_2017-06-04.zip	14000174
flight_10_21/flight_10_21_price_2017-06-05.zip	13978621
flight_10_21/flight_10_21_price_2017-06-06.zip	14086403
flight_10_21/flight_10_21_price_2017-06-07.zip	14096126
flight_10_21/flight_10_21_price_2017-06-08.zip	13966097
flight_10_21/flight_10_21_price_2017-06-09.zip	13913971
flight_10_21/flight_10_21_price_2017-06-10.zip	13944710
flight_10_21/flight_10_21_price_2017-06-11.zip	13794050
flight_10_21/flight_10_21_price_2017-06-12.zip	13957105
flight_10_21/flight_10_21_price_2017-06-13.zip	14000085
flight_10_21/flight_10_21_price_2017-06-14.zip	14015174
flight_10_21/flight_10_21_price_2017-06-15.zip	14137152
flight_10_21/flight_10_21_price_2017-06-16.zip	14104178
flight_10_21/flight_10_21_price_2017-06-17.zip	14239768
flight_10_21/flight_10_21_price_2017-06-18.zip	14276030
flight_10_21/flight_10_21_price_2017-06-19.zip	13963300
flight_10_21/flight_10_21_price_2017-06-20.zip	14095016
flight_10_21/flight_10_21_price_2017-06-21.zip	13653572
flight_10_21/flight_10_21_price_2017-06-22.zip	14285204
flight_10_21/flight_10_21_price_2017-06-24.zip	14520662
flight_10_21/flight_10_21_price_2017-06-26.zip	14258684
flight_10_21/flight_10_21_price_2017-06-28.zip	13994357
flight_10_22/flight_10_22_price_2017-05-15.zip	13444313
flight_10_22/flight_10_22_price_2017-05-16.zip	13233354
flight_10_22/flight_10_22_price_2017-05-17.zip	13225634
flight_10_22/flight_10_22_price_2017-05-18.zip	13323494
flight_10_22/flight_10_22_price_2017-05-19.zip	13315014
flight_10_22/flight_10_22_price_2017-05-20.zip	13420648
flight_10_22/flight_10_22_price_2017-05-21.zip	13472532
flight_10_22/flight_10_22_price_2017-05-22.zip	13465591
flight_10_22/flight_10_22_price_2017-05-23.zip	13303176
flight_10_22/flight_10_22_price_2017-05-24.zip	13386460
flight_10_22/flight_10_22_price_2017-05-25.zip	13273016
flight_10_22/flight_10_22_price_2017-05-26.zip	13182556
flight_10_22/flight_10_22_price_2017-05-27.zip	13146194
flight_10_22/flight_10_22_price_2017-05-28.zip	13057238
flight_10_22/flight_10_22_price_2017-05-29.zip	13175176
flight_10_22/flight_10_22_price_2017-05-30.zip	13115801
flight_10_22/flight_10_22_price_2017-05-31.zip	13034018
flight_10_22/flight_10_22_price_2017-06-01.zip	12994510
flight_10_22/flight_10_22_price_2017-06-02.zip	12974087
flight_10_22/flight_10_22_price_2017-06-03.zip	12894888
flight_10_22/flight_10_22_price_2017-06-04.zip	12960827
flight_10_22/flight_10_22_price_2017-06-05.zip	13014215
flight_10_22/flight_10_22_price_2017-06-06.zip	13041034
flight_10_22/flight_10_22_price_2017-06-07.zip	13035753
flight_10_22/flight_10_22_price_2017-06-08.zip	13171184
flight_10_22/flight_10_22_price_2017-06-09.zip	13283323
flight_10_22/flight_10_22_price_2017-06-10.zip	13430886
flight_10_22/flight_10_22_price_2017-06-11.zip	13336264
flight_10_22/flight_10_22_price_2017-06-12.zip	13519508
flight_10_22/flight_10_22_price_2017-06-13.zip	13492157
flight_10_22/flight_10_22_price_2017-06-14.zip	13551149
flight_10_22/flight_10_22_price_2017-06-15.zip	13464603
flight_10_22/flight_10_22_price_2017-06-16.zip	13622862
flight_10_22/flight_10_22_price_2017-06-17.zip	13500678
flight_10_22/flight_10_22_price_2017-06-18.zip	13521912
flight_10_22/flight_10_22_price_2017-06-19.zip	13337374
